MONTERREY,VIVA,VB 1118,07:35,A TIEMPO,G
P.VALLARTA,VIVA,VB 1166,07:35,A TIEMPO,G
VERACRUZ,AEROMEXICO,AM 852,07:35,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 508,07:40,A TIEMPO,S/D
OBREGON,AEROMEXICO,AM 2062,07:45,A TIEMPO,S/D
CANCUN,VOLARIS,Y4 714,07:50,A TIEMPO,B
NEW YORK,VIVA,VB 100,07:55,A TIEMPO,J
MONTREAL,AIR CANADA,AC 994,07:55,A TIEMPO,J
GUADALAJARA,AEROMEXICO,AM 208,07:55,A TIEMPO,S/D
S.FRANCISCO,AEROMEXICO,AM 668,07:55,A TIEMPO,S/D
TAMPICO,AEROMEXICO,AM 2410,08:05,A TIEMPO,S/D
MONTERREY,AEROMEXICO,AM 908,08:05,A TIEMPO,S/D
GUADALAJARA,VIVA,VB 1058,08:15,A TIEMPO,B
MEXICALI,AEROMEXICO,AM 198,08:20,A TIEMPO,S/D
VILLAHERMO,AEROMEXICO,AM 802,08:20,A TIEMPO,S/D
HERMOSILLO,AEROMEXICO,AM 702,08:20,A TIEMPO,S/D
AGUASCALIE,AEROMEXICO,AM 2628,08:25,A TIEMPO,S/D
LA PAZ,AEROMEXICO,AM 364,08:30,A TIEMPO,S/D
OAXACA,AEROMEXICO,AM 2046,08:30,A TIEMPO,S/D
MONTERREY,VIVA,VB 1134,08:35,A TIEMPO,B
SAN PEDRO,AEROMEXICO,AM 674,08:35,A TIEMPO,S/D
TIJUANA,AEROMEXICO,AM 172,08:35,A TIEMPO,S/D
SJ. D CABO,AEROMEXICO,AM 378,08:35,A TIEMPO,S/D
SAN PEDRO,AEROMEXICO,AM 674,08:35,A TIEMPO,S/D
TIJUANA,AEROMEXICO,AM 172,08:35,A TIEMPO,S/D
GUATEMALA,AEROMEXICO,AM 672,08:40,A TIEMPO,S/D
CHICAGO,AEROMEXICO,AM 686,08:40,A TIEMPO,S/D
CANCUN,VIVA,VB 1380,08:40,A TIEMPO,B
LEON/BAJIO,AEROMEXICO,AM 152,08:40,A TIEMPO,S/D
MANZANILLO,AEROMEXICO,AM 2564,08:40,A TIEMPO,S/D
TORREON C,AEROMEXICO,AM 106,08:45,A TIEMPO,S/D
NEWARK,UNITED,UA 1064,08:45,A TIEMPO,J
LIMA,AEROMEXICO,AM 46,08:45,A TIEMPO,S/D
ATLANTA G,DELTA,DL 593,08:45,A TIEMPO,S/D
CHETUMAL,AEROMEXICO,AM 324,08:50,A TIEMPO,S/D
LAS VEGAS,AEROMEXICO,AM 484,08:50,A TIEMPO,S/D
BOGOTA CO,AEROMEXICO,AM 761,08:55,A TIEMPO,S/D
SAN JOSE CR,AEROMEXICO,AM 690,08:55,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 512,08:55,A TIEMPO,S/D
MERIDA YUC,AEROMEXICO,AM 824,09:00,A TIEMPO,S/D
ESTAMBUL,TURKISH AIRLINES,TK 182,09:00,A TIEMPO,G
DENVER,AEROMEXICO,AM 658,09:00,A TIEMPO,S/D
GUADALAJARA,AEROMEXICO,AM 212,09:00,A TIEMPO,S/D
LOS MOCHIS,AEROMEXICO,AM 2080,09:00,A TIEMPO,S/D
WA DULLES,UNITED,UA 1567,09:00,A TIEMPO,B
S. ANTONIO,VOLARIS,Y4 836,09:00,A TIEMPO,G
ESTAMBUL,TURKISH AIRLINES,TK 182,09:00,A TIEMPO,S/D
MONTERREY,AEROMEXICO,AM 914,09:05,A TIEMPO,S/D
ACAPULCO,AEROMEXICO,AM 302,09:10,A TIEMPO,S/D
NEW YORK,AEROMEXICO,AM 402,09:10,A TIEMPO,S/D
MORELIA MI,AEROMEXICO,AM 2444,09:15,A TIEMPO,S/D
VANCOUVER,AEROMEXICO,AM 600,09:25,A TIEMPO,S/D
S. ANTONIO,AEROMEXICO,AM 632,09:25,A TIEMPO,S/D
HOUSTON IA,UNITED,UA 1089,09:30,A TIEMPO,J
OAXACA,VOLARIS,Y4 328,09:30,A TIEMPO,B
CANCUN,VOLARIS,Y4 222,09:30,A TIEMPO,G
TIJUANA,VOLARIS,Y4 813,09:30,A TIEMPO,G
ZIHUATANEJO,AEROMEXICO,AM 2450,09:30,A TIEMPO,S/D
MONTERREY,VIVA,VB 1356,09:35,A TIEMPO,B
CHIHUAHUA,AEROMEXICO,AM 140,09:35,A TIEMPO,S/D
L.ANGELES,AEROMEXICO,AM 644,09:40,A TIEMPO,S/D
CANCUN,VIVA,VB 1018,09:50,A TIEMPO,B
GUADALAJARA,AEROMEXICO,AM 216,09:50,A TIEMPO,S/D
GUADALAJARA,AEROMEXICO,AM 216,09:50,A TIEMPO,S/D
MANAGUA,AEROMEXICO,AM 650,09:55,A TIEMPO,S/D
TIJUANA,AEROMEXICO,AM 174,09:55,A TIEMPO,S/D
ORLANDO,AEROMEXICO,AM 434,09:55,A TIEMPO,S/D
OAXACA,AEROMEXICO,AM 1044,10:00,A TIEMPO,S/D
QUERETARO,AEROMEXICO,AM 2460,10:00,A TIEMPO,S/D
B. AIRES,AEROMEXICO,AM 30,10:00,A TIEMPO,S/D
VERACRUZ,AEROMEXICO,AM 854,10:00,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 516,10:05,A TIEMPO,S/D
MAZATLAN,AEROMEXICO,AM 350,10:05,A TIEMPO,S/D
C.D.CARMEN,AEROMEXICO,AM 816,10:10,A TIEMPO,S/D
GUADALAJARA,VOLARIS,Y4 734,10:10,A TIEMPO,B
COZUMEL,AEROMEXICO,AM 598,10:10,A TIEMPO,S/D
VILLAHERMO,AEROMEXICO,AM 1814,10:10,A TIEMPO,S/D
TAMPICO,AEROMEXICO,AM 2412,10:10,A TIEMPO,S/D
DALLAS,AEROMEXICO,AM 2682,10:15,A TIEMPO,S/D
NUEVO LAREDO,AEROMEXICO,AM 2970,10:15,A TIEMPO,S/D
CANCUN,VIVA,VB 1022,10:20,A TIEMPO,B
MIAMI,AMERICAN AIRLINES,AA 264,10:20,A TIEMPO,J
CHETUMAL,VIVA,VB 1414,10:20,A TIEMPO,B
MIAMI,AMERICAN AIRLINES,AA 264,10:20,A TIEMPO,J
LAS VEGAS,VIVA,VB 112,10:25,A TIEMPO,J
LA PAZ,VOLARIS,Y4 608,10:25,A TIEMPO,B
CD. JUAREZ,VOLARIS,Y4 278,10:35,A TIEMPO,G
CD. JUAREZ,AEROMEXICO,AM 115,10:35,A TIEMPO,S/D
MAZATLAN,VIVA,VB 1150,10:40,A TIEMPO,B
MONTERREY,AEROMEXICO,AM 918,10:40,A TIEMPO,S/D
P.VALLARTA,AEROMEXICO,AM 332,10:40,A TIEMPO,S/D
SAN JOSE CR,,Q6 4051,10:45,A TIEMPO,J
LEON/BAJIO,AEROMEXICO,AM 128,10:45,A TIEMPO,S/D
TUXTLA,AEROMEXICO,AM 314,10:45,A TIEMPO,S/D
MATAMOROS,AEROMEXICO,AM 2420,10:45,A TIEMPO,S/D
MERIDA YUC,AEROMEXICO,AM 826,10:55,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 520,10:55,A TIEMPO,S/D
TIJUANA,VOLARIS,Y4 870,10:55,A TIEMPO,B
P.VALLARTA,VOLARIS,Y4 166,10:55,A TIEMPO,B
GUADALAJARA,AEROMEXICO,AM 220,10:55,A TIEMPO,S/D
OAXACA,VIVA,VB 1334,11:05,A TIEMPO,B
MINATITLAN,AEROMEXICO,AM 2520,11:10,A TIEMPO,S/D
GUADALAJARA,VOLARIS,Y4 250,11:10,A TIEMPO,B
LA HABANA,AEROMEXICO,AM 451,11:10,A TIEMPO,S/D
MONTERREY,AEROMEXICO,AM 922,11:25,A TIEMPO,S/D
MADRID,IBERIA,IB 6400,11:25,A TIEMPO,G
TIJUANA,AEROMEXICO,AM 176,11:25,A TIEMPO,S/D
TAMPICO,AEROMEXICO,AM 2414,11:25,A TIEMPO,S/D
S.SALVADOR,AEROMEXICO,AM 628,11:30,A TIEMPO,S/D
SJ. D CABO,AEROMEXICO,AM 380,11:30,A TIEMPO,S/D
ATLANTA G,DELTA,DL 576,11:30,A TIEMPO,S/D
HOUSTON IA,UNITED,UA 1091,11:35,A TIEMPO,J
AGUASCALIE,AEROMEXICO,AM 2634,11:40,A TIEMPO,S/D
NUEVO LAREDO,VIVA,VB 1502,11:40,A TIEMPO,B
LAS VEGAS,VOLARIS,Y4 966,11:45,A TIEMPO,J
HERMOSILLO,AEROMEXICO,AM 706,11:50,A TIEMPO,S/D
TORREON C,AEROMEXICO,AM 102,11:55,A TIEMPO,S/D
P.ESCONDIDO,VIVA,VB 1182,11:55,A TIEMPO,B
GUADALAJARA,AEROMEXICO,AM 224,11:55,A TIEMPO,S/D
DALLAS,AMERICAN AIRLINES,AA 390,12:00,A TIEMPO,J
MEXICALI,VOLARIS,Y4 750,12:05,A TIEMPO,B
CANCUN,AEROMEXICO,AM 524,12:10,A TIEMPO,S/D
TORONTO,AIR CANADA,AC 990,12:20,A TIEMPO,J
DURANGO,AEROMEXICO,AM 2468,12:20,A TIEMPO,S/D
